Full Name,DOB,Email,Age,Education Level,Gender,Current City,Province,District,Polling Division,Polling Station,Current Position of the Job,Name of the Institute,Experience,Current Salary,Position Type,FamName,FamPollingStation
Charlotte Davis,1979-02-12,charlotte.davis@yahoo.com,23,High School Diploma,Male,Negombo,Southern,Trincomalee,Division 8,Station 34,Teacher,University of Peradeniya,19 years,"$100,106.95",Clerk,Fed,Fds
Olivia Miller,1977-05-27,olivia.miller@yahoo.com,20,High School Diploma,Female,Anuradhapura,Central,Mannar,Division 9,Station 30,Accountant,University of Jaffna,3 years,"$91,053.29",Clerk,Fed,Fds
David Scott,1968-07-08,david.scott@yahoo.com,55,High School Diploma,Other,Negombo,Northern,Jaffna,Division 2,Station 39,Marketing Manager,University of Colombo,18 years,"$61,655.17",Clerk,Fed,Fds
Daniel Hall,1972-06-24,daniel.hall@yahoo.com,24,Bachelor's Degree,Female,Anuradhapura,Southern,Mannar,Division 4,Station 48,Teacher,University of Peradeniya,4 years,"$103,601.47",Junior Polling Officer,Fed,Fds
Lily White,1951-09-07,lily.white@outlook.com,59,Master's Degree,Male,Colombo,Uva,Galle,Division 7,Station 38,Doctor,University of Peradeniya,15 years,"$55,545.22",Senior Polling Officer,Fed,Fds
Victoria Lee,1961-10-08,victoria.lee@example.com,34,Ph.D.,Female,Jaffna,Central,Matara,Division 6,Station 21,Marketing Manager,University of Moratuwa,9 years,"$31,782.5",Senior Polling Officer,Fed,Fds
Lucas Rodriguez,1973-12-12,lucas.rodriguez@outlook.com,50,Master's Degree,Female,Galle,Central,Colombo,Division 1,Station 41,Doctor,University of Peradeniya,10 years,"$28,221.92",Senior Polling Officer,Fed,Fds
Carter Jones,1977-09-04,carter.jones@gmail.com,21,Bachelor's Degree,Other,Galle,Sabaragamuwa,Jaffna,Division 10,Station 24,Software Engineer,University of Colombo,4 years,"$82,710.51",Junior Polling Officer,Fed,Fds
Sophia Gonzalez,1992-07-06,sophia.gonzalez@example.com,42,High School Diploma,Male,Negombo,Uva,Kandy,Division 5,Station 20,Teacher,University of Moratuwa,3 years,"$86,318.08",Clerk,Fed,Fds
Aria Sanchez,1997-01-10,aria.sanchez@yahoo.com,64,Bachelor's Degree,Female,Galle,North Central,Jaffna,Division 6,Station 40,Teacher,University of Moratuwa,13 years,"$34,419.42",Junior Polling Officer,Fed,Fds
James Anderson,1986-12-24,james.anderson@example.com,38,Ph.D.,Female,Galle,Western,Matara,Division 1,Station 9,Accountant,University of Moratuwa,18 years,"$112,225.25",Senior Polling Officer,Fed,Fds
Sofia Hall,2000-05-28,sofia.hall@outlook.com,39,Bachelor's Degree,Male,Colombo,Sabaragamuwa,Badulla,Division 8,Station 23,Marketing Manager,University of Peradeniya,10 years,"$107,497.27",Junior Polling Officer,Fed,Fds
Mason Perez,1993-07-08,mason.perez@example.com,31,Master's Degree,Other,Jaffna,Southern,Matara,Division 5,Station 26,Software Engineer,University of Moratuwa,12 years,"$73,976.85",Senior Polling Officer,Fed,Fds
Nathan Green,1969-03-16,nathan.green@example.com,33,Bachelor's Degree,Male,Kandy,North Central,Kandy,Division 7,Station 25,Marketing Manager,University of Jaffna,6 years,"$94,164.62",Junior Polling Officer,Fed,Fds
Logan Lewis,2002-07-26,logan.lewis@yahoo.com,59,Master's Degree,Other,Jaffna,Southern,Jaffna,Division 1,Station 34,Teacher,University of Peradeniya,11 years,"$80,120.44",Senior Polling Officer,Fed,Fds
Charlotte Baker,1980-05-03,charlotte.baker@example.com,58,Bachelor's Degree,Male,Galle,Central,Badulla,Division 1,Station 38,Marketing Manager,University of Jaffna,16 years,"$50,481.81",Junior Polling Officer,Fed,Fds
Elijah Davis,1956-12-14,elijah.davis@outlook.com,26,Master's Degree,Male,Anuradhapura,Northern,Galle,Division 1,Station 7,Doctor,University of Colombo,17 years,"$27,346.59",Senior Polling Officer,Fed,Fds
Logan Martinez,1984-08-09,logan.martinez@example.com,23,Bachelor's Degree,Female,Jaffna,Sabaragamuwa,Mannar,Division 1,Station 11,Doctor,University of Moratuwa,18 years,"$60,101.63",Junior Polling Officer,Fed,Fds
Grace Wilson,1990-12-09,grace.wilson@outlook.com,46,Bachelor's Degree,Other,Kandy,Uva,Trincomalee,Division 5,Station 27,Accountant,University of Peradeniya,17 years,"$105,182.61",Junior Polling Officer,Fed,Fds
Sophia Hernandez,1969-11-17,sophia.hernandez@yahoo.com,21,Bachelor's Degree,Other,Colombo,North Central,Jaffna,Division 1,Station 15,Software Engineer,University of Jaffna,5 years,"$72,723.51",Junior Polling Officer,Fed,Fds
Charlotte Rodriguez,1981-01-10,charlotte.rodriguez@example.com,60,Master's Degree,Female,Kandy,Northern,Jaffna,Division 7,Station 39,Marketing Manager,University of Colombo,7 years,"$113,221.39",Senior Polling Officer,Fed,Fds
Jackson Johnson,1997-10-27,jackson.johnson@yahoo.com,28,Master's Degree,Other,Galle,Central,Jaffna,Division 2,Station 4,Teacher,University of Peradeniya,10 years,"$33,288.39",Senior Polling Officer,Fed,Fds
Samantha Young,1969-06-14,samantha.young@example.com,52,Ph.D.,Female,Anuradhapura,Northern,Badulla,Division 3,Station 7,Marketing Manager,University of Peradeniya,15 years,"$85,518.31",Senior Polling Officer,Fed,Fds
Sophia Lopez,1966-03-21,sophia.lopez@gmail.com,41,Ph.D.,Other,Trincomalee,Sabaragamuwa,Jaffna,Division 9,Station 43,Marketing Manager,University of Jaffna,7 years,"$70,823.64",Senior Polling Officer,Fed,Fds
Victoria Anderson,1953-05-25,victoria.anderson@yahoo.com,53,Ph.D.,Female,Anuradhapura,Eastern,Colombo,Division 2,Station 24,Marketing Manager,University of Moratuwa,19 years,"$27,576.25",Senior Polling Officer,Fed,Fds
Abigail Jackson,1950-03-11,abigail.jackson@gmail.com,21,Ph.D.,Male,Trincomalee,Western,Jaffna,Division 4,Station 9,Doctor,University of Peradeniya,6 years,"$47,047.22",Senior Polling Officer,Fed,Fds
Olivia Green,1973-10-24,olivia.green@example.com,56,Ph.D.,Female,Anuradhapura,Southern,Badulla,Division 2,Station 24,Teacher,University of Jaffna,18 years,"$26,589.5",Senior Polling Officer,Fed,Fds
Mason Allen,2001-07-19,mason.allen@yahoo.com,30,High School Diploma,Female,Colombo,Southern,Kandy,Division 6,Station 3,Accountant,University of Peradeniya,4 years,"$70,108.19",Clerk,Fed,Fds
Nathan Williams,1961-07-24,nathan.williams@outlook.com,25,Bachelor's Degree,Female,Kandy,Uva,Trincomalee,Division 3,Station 2,Doctor,University of Moratuwa,14 years,"$37,017.11",Junior Polling Officer,Fed,Fds
Lucas Thomas,1953-03-01,lucas.thomas@gmail.com,34,High School Diploma,Other,Kandy,North Central,Badulla,Division 1,Station 4,Marketing Manager,University of Colombo,16 years,"$98,774.35",Clerk,Fed,Fds
Charlotte Sanchez,1996-02-04,charlotte.sanchez@outlook.com,31,High School Diploma,Other,Negombo,Southern,Colombo,Division 5,Station 37,Doctor,University of Peradeniya,1 years,"$98,379.89",Clerk,Fed,Fds
Henry Sanchez,1959-11-10,henry.sanchez@yahoo.com,27,Master's Degree,Male,Colombo,Uva,Colombo,Division 8,Station 33,Marketing Manager,University of Jaffna,0 years,"$106,282.27",Clerk,Fed,Fds
Sofia Miller,1984-10-22,sofia.miller@example.com,21,Bachelor's Degree,Other,Galle,Northern,Mannar,Division 8,Station 42,Teacher,University of Peradeniya,3 years,"$56,665.52",Junior Polling Officer,Fed,Fds
John Jones,2000-10-11,john.jones@gmail.com,36,Master's Degree,Male,Trincomalee,North Western,Galle,Division 1,Station 38,Accountant,University of Peradeniya,10 years,"$95,768.46",Senior Polling Officer,Fed,Fds
Victoria Allen,1977-04-21,victoria.allen@outlook.com,28,Bachelor's Degree,Male,Kandy,Central,Colombo,Division 8,Station 19,Marketing Manager,University of Moratuwa,6 years,"$54,442.2",Junior Polling Officer,Fed,Fds
Aiden Hall,1974-10-01,aiden.hall@gmail.com,35,Master's Degree,Other,Trincomalee,North Central,Badulla,Division 9,Station 2,Teacher,University of Peradeniya,7 years,"$77,428.19",Senior Polling Officer,Fed,Fds
Charlotte Torres,1995-03-13,charlotte.torres@example.com,61,Master's Degree,Male,Colombo,Eastern,Matara,Division 4,Station 20,Teacher,University of Jaffna,7 years,"$98,594.68",Senior Polling Officer,Fed,Fds
Michael Clark,1985-02-02,michael.clark@outlook.com,20,Bachelor's Degree,Female,Trincomalee,Central,Colombo,Division 7,Station 35,Software Engineer,University of Jaffna,2 years,"$95,352.93",Junior Polling Officer,Fed,Fds
Alexander Miller,1953-11-24,alexander.miller@outlook.com,55,Ph.D.,Male,Trincomalee,Northern,Badulla,Division 3,Station 7,Software Engineer,University of Moratuwa,11 years,"$92,053.43",Senior Polling Officer,Fed,Fds
Charlotte Nelson,2001-04-28,charlotte.nelson@yahoo.com,52,Master's Degree,Other,Kandy,Northern,Jaffna,Division 5,Station 35,Doctor,University of Jaffna,4 years,"$108,069.39",Senior Polling Officer,Fed,Fds
Ella Thompson,1963-08-02,ella.thompson@example.com,26,High School Diploma,Other,Trincomalee,North Central,Colombo,Division 7,Station 47,Doctor,University of Moratuwa,17 years,"$88,240.49",Clerk,Fed,Fds
Emily King,1981-01-25,emily.king@yahoo.com,53,High School Diploma,Female,Colombo,Western,Kandy,Division 1,Station 16,Doctor,University of Jaffna,8 years,"$98,515.08",Clerk,Fed,Fds
Leo Martinez,1970-10-12,leo.martinez@outlook.com,28,Master's Degree,Female,Anuradhapura,Southern,Kandy,Division 7,Station 8,Doctor,University of Colombo,0 years,"$33,643.92",Clerk,Fed,Fds
Carter Johnson,1988-10-24,carter.johnson@outlook.com,61,Bachelor's Degree,Male,Colombo,Sabaragamuwa,Jaffna,Division 3,Station 47,Accountant,University of Peradeniya,14 years,"$36,666.8",Junior Polling Officer,Fed,Fds
Sofia Gonzalez,2000-05-14,sofia.gonzalez@outlook.com,24,High School Diploma,Female,Galle,North Western,Trincomalee,Division 5,Station 23,Doctor,University of Moratuwa,15 years,"$76,142.44",Clerk,Fed,Fds
Lily Robinson,1996-03-09,lily.robinson@gmail.com,48,Ph.D.,Male,Colombo,Southern,Kandy,Division 7,Station 11,Doctor,University of Jaffna,15 years,"$25,327.6",Senior Polling Officer,Fed,Fds
Isabella Flores,1966-11-14,isabella.flores@outlook.com,35,Ph.D.,Other,Anuradhapura,Eastern,Badulla,Division 7,Station 44,Doctor,University of Moratuwa,16 years,"$108,450.73",Senior Polling Officer,Fed,Fds
Olivia Jackson,1985-05-08,olivia.jackson@gmail.com,63,Ph.D.,Other,Jaffna,Western,Badulla,Division 8,Station 13,Software Engineer,University of Jaffna,1 years,"$43,807.54",Clerk,Fed,Fds
Ethan Anderson,1991-02-23,ethan.anderson@example.com,22,Master's Degree,Female,Galle,Northern,Mannar,Division 10,Station 39,Marketing Manager,University of Peradeniya,0 years,"$33,414.95",Clerk,Fed,Fds
Harper Baker,1983-05-19,harper.baker@outlook.com,49,Bachelor's Degree,Male,Jaffna,Northern,Matara,Division 5,Station 14,Teacher,University of Jaffna,13 years,"$83,319.26",Junior Polling Officer,Fed,Fds
Sofia Nguyen,1966-08-26,sofia.nguyen@gmail.com,33,High School Diploma,Female,Colombo,North Central,Galle,Division 6,Station 30,Doctor,University of Peradeniya,6 years,"$86,551.41",Clerk,Fed,Fds
Emma Torres,1971-02-20,emma.torres@yahoo.com,27,Bachelor's Degree,Other,Anuradhapura,North Central,Kandy,Division 3,Station 20,Software Engineer,University of Jaffna,18 years,"$54,654.31",Junior Polling Officer,Fed,Fds
Lucas Brown,1984-07-17,lucas.brown@gmail.com,43,High School Diploma,Other,Jaffna,Southern,Jaffna,Division 5,Station 27,Doctor,University of Jaffna,13 years,"$75,474.52",Clerk,Fed,Fds
Isabella Martin,1957-09-09,isabella.martin@example.com,21,Ph.D.,Other,Colombo,Eastern,Mannar,Division 6,Station 33,Accountant,University of Peradeniya,1 years,"$108,634.1",Clerk,Fed,Fds
Samantha Allen,1992-12-20,samantha.allen@yahoo.com,55,Ph.D.,Other,Anuradhapura,North Western,Matara,Division 9,Station 20,Doctor,University of Moratuwa,20 years,"$33,117.63",Senior Polling Officer,Fed,Fds
Lily Moore,1952-05-16,lily.moore@gmail.com,27,Ph.D.,Other,Anuradhapura,Sabaragamuwa,Trincomalee,Division 1,Station 4,Marketing Manager,University of Jaffna,20 years,"$74,457.95",Senior Polling Officer,Fed,Fds
Olivia Robinson,1982-03-28,olivia.robinson@yahoo.com,34,Master's Degree,Male,Galle,North Central,Colombo,Division 9,Station 42,Marketing Manager,University of Moratuwa,0 years,"$94,570.97",Clerk,Fed,Fds
Ryan Clark,1960-11-18,ryan.clark@gmail.com,35,Master's Degree,Female,Galle,Southern,Kandy,Division 5,Station 8,Software Engineer,University of Jaffna,13 years,"$67,130.91",Senior Polling Officer,Fed,Fds
Ella Hill,2000-05-28,ella.hill@outlook.com,49,Master's Degree,Male,Colombo,Central,Galle,Division 5,Station 25,Software Engineer,University of Colombo,16 years,"$85,063.55",Senior Polling Officer,Fed,Fds
Emily Thompson,1989-02-06,emily.thompson@example.com,22,Master's Degree,Female,Anuradhapura,Uva,Colombo,Division 10,Station 45,Accountant,University of Moratuwa,12 years,"$60,427.49",Senior Polling Officer,Fed,Fds
Leo Hill,2001-01-09,leo.hill@outlook.com,44,Bachelor's Degree,Male,Colombo,North Western,Matara,Division 9,Station 9,Doctor,University of Colombo,10 years,"$89,846.4",Junior Polling Officer,Fed,Fds
Ella Nelson,1968-07-08,ella.nelson@yahoo.com,34,High School Diploma,Male,Galle,North Western,Kandy,Division 2,Station 3,Accountant,University of Colombo,19 years,"$116,597.81",Clerk,Fed,Fds
Sophia Jones,1976-01-08,sophia.jones@gmail.com,42,High School Diploma,Female,Anuradhapura,Northern,Anuradhapura,Division 3,Station 30,Accountant,University of Jaffna,13 years,"$117,316.65",Clerk,Fed,Fds
Amelia Green,1963-04-27,amelia.green@yahoo.com,52,Master's Degree,Female,Galle,North Central,Badulla,Division 10,Station 37,Teacher,University of Moratuwa,16 years,"$92,582.66",Senior Polling Officer,Fed,Fds
Logan Garcia,1976-05-14,logan.garcia@outlook.com,43,Ph.D.,Male,Trincomalee,Eastern,Badulla,Division 3,Station 27,Software Engineer,University of Moratuwa,17 years,"$101,794.45",Senior Polling Officer,Fed,Fds
Mason Garcia,1974-07-04,mason.garcia@example.com,44,Bachelor's Degree,Other,Galle,Southern,Colombo,Division 8,Station 45,Marketing Manager,University of Moratuwa,20 years,"$52,351.8",Junior Polling Officer,Fed,Fds
Emma King,2000-08-09,emma.king@outlook.com,35,Bachelor's Degree,Other,Galle,Southern,Galle,Division 6,Station 29,Software Engineer,University of Colombo,8 years,"$47,249.05",Junior Polling Officer,Fed,Fds
Lucas Clark,1969-01-16,lucas.clark@example.com,29,Master's Degree,Other,Galle,North Central,Badulla,Division 5,Station 13,Doctor,University of Peradeniya,18 years,"$109,641.69",Senior Polling Officer,Fed,Fds
Carter Thompson,1995-11-18,carter.thompson@yahoo.com,30,Ph.D.,Other,Jaffna,Eastern,Mannar,Division 5,Station 14,Software Engineer,University of Jaffna,3 years,"$28,467.51",Clerk,Fed,Fds
Sophia Walker,1991-02-13,sophia.walker@yahoo.com,21,Master's Degree,Female,Kandy,Central,Trincomalee,Division 9,Station 43,Marketing Manager,University of Colombo,10 years,"$27,928.12",Senior Polling Officer,Fed,Fds
James Brown,1950-02-23,james.brown@gmail.com,34,Bachelor's Degree,Other,Negombo,Northern,Jaffna,Division 4,Station 41,Doctor,University of Jaffna,11 years,"$61,808.44",Junior Polling Officer,Fed,Fds
Emily Scott,1968-06-27,emily.scott@outlook.com,24,Ph.D.,Male,Galle,Southern,Anuradhapura,Division 8,Station 33,Teacher,University of Peradeniya,0 years,"$76,731.27",Clerk,Fed,Fds
Victoria Perez,1953-03-03,victoria.perez@yahoo.com,53,High School Diploma,Other,Kandy,Eastern,Badulla,Division 2,Station 48,Teacher,University of Peradeniya,16 years,"$38,354.99",Clerk,Fed,Fds
Victoria Ramirez,1999-08-14,victoria.ramirez@outlook.com,54,Bachelor's Degree,Other,Colombo,North Central,Matara,Division 6,Station 19,Marketing Manager,University of Jaffna,13 years,"$115,882.48",Junior Polling Officer,Fed,Fds
Sofia Harris,1979-10-03,sofia.harris@gmail.com,40,High School Diploma,Female,Kandy,Eastern,Badulla,Division 8,Station 38,Software Engineer,University of Moratuwa,11 years,"$35,644.18",Clerk,Fed,Fds
William Walker,1967-08-03,william.walker@example.com,62,Bachelor's Degree,Other,Galle,Uva,Badulla,Division 6,Station 22,Software Engineer,University of Jaffna,18 years,"$84,662.36",Junior Polling Officer,Fed,Fds
Olivia Adams,1990-11-09,olivia.adams@outlook.com,44,Bachelor's Degree,Other,Negombo,Sabaragamuwa,Jaffna,Division 8,Station 16,Doctor,University of Peradeniya,0 years,"$34,369.46",Clerk,Fed,Fds
Leo Lee,1964-06-23,leo.lee@outlook.com,45,Bachelor's Degree,Other,Trincomalee,Eastern,Colombo,Division 1,Station 47,Software Engineer,University of Peradeniya,7 years,"$66,369.48",Junior Polling Officer,Fed,Fds
Henry Smith,1950-02-15,henry.smith@gmail.com,26,Bachelor's Degree,Male,Colombo,Northern,Kandy,Division 10,Station 13,Software Engineer,University of Peradeniya,7 years,"$78,039.21",Junior Polling Officer,Fed,Fds
Aiden Davis,1959-10-03,aiden.davis@yahoo.com,53,High School Diploma,Female,Jaffna,North Central,Anuradhapura,Division 2,Station 9,Accountant,University of Jaffna,20 years,"$83,273.18",Clerk,Fed,Fds
Sofia Nguyen,1987-01-11,sofia.nguyen@yahoo.com,63,Master's Degree,Other,Galle,North Central,Badulla,Division 7,Station 12,Teacher,University of Moratuwa,20 years,"$39,510.82",Senior Polling Officer,Fed,Fds
Ethan Martin,1996-11-28,ethan.martin@gmail.com,35,Master's Degree,Male,Trincomalee,Sabaragamuwa,Kandy,Division 6,Station 12,Doctor,University of Moratuwa,9 years,"$44,621.62",Senior Polling Officer,Fed,Fds
Lucas Lewis,1964-09-15,lucas.lewis@yahoo.com,30,High School Diploma,Female,Jaffna,North Western,Galle,Division 8,Station 39,Teacher,University of Colombo,15 years,"$66,014.81",Clerk,Fed,Fds
Ethan Thomas,1963-03-07,ethan.thomas@gmail.com,33,Bachelor's Degree,Other,Kandy,Uva,Mannar,Division 5,Station 13,Marketing Manager,University of Peradeniya,5 years,"$105,408.79",Junior Polling Officer,Fed,Fds
Alexander Torres,1955-11-20,alexander.torres@yahoo.com,31,High School Diploma,Male,Negombo,Central,Colombo,Division 2,Station 49,Doctor,University of Jaffna,9 years,"$84,408.58",Clerk,Fed,Fds
Ava Nguyen,1996-04-06,ava.nguyen@example.com,47,High School Diploma,Male,Trincomalee,Eastern,Mannar,Division 5,Station 42,Doctor,University of Moratuwa,5 years,"$114,166.14",Clerk,Fed,Fds
Emma Taylor,1979-12-28,emma.taylor@outlook.com,37,Bachelor's Degree,Other,Colombo,North Central,Jaffna,Division 9,Station 47,Doctor,University of Moratuwa,6 years,"$83,944.4",Junior Polling Officer,Fed,Fds
Leo Rivera,1970-11-12,leo.rivera@gmail.com,26,Ph.D.,Male,Galle,Uva,Trincomalee,Division 6,Station 32,Teacher,University of Moratuwa,8 years,"$94,931.41",Senior Polling Officer,Fed,Fds
Ella Moore,1976-03-17,ella.moore@outlook.com,27,Ph.D.,Female,Trincomalee,Sabaragamuwa,Anuradhapura,Division 8,Station 9,Doctor,University of Jaffna,10 years,"$85,856.59",Senior Polling Officer,Fed,Fds
Sophia Martinez,1972-12-27,sophia.martinez@outlook.com,56,High School Diploma,Other,Jaffna,Eastern,Trincomalee,Division 7,Station 13,Accountant,University of Peradeniya,14 years,"$40,043.58",Clerk,Fed,Fds
Noah Garcia,1994-02-08,noah.garcia@yahoo.com,47,Bachelor's Degree,Female,Jaffna,North Western,Trincomalee,Division 8,Station 14,Doctor,University of Colombo,2 years,"$105,829.5",Junior Polling Officer,Fed,Fds
Amelia Young,1981-07-10,amelia.young@example.com,65,Ph.D.,Other,Anuradhapura,Southern,Anuradhapura,Division 3,Station 44,Accountant,University of Moratuwa,9 years,"$63,914.9",Senior Polling Officer,Fed,Fds
Samantha Sanchez,1964-05-23,samantha.sanchez@outlook.com,47,Bachelor's Degree,Female,Trincomalee,Northern,Badulla,Division 5,Station 48,Doctor,University of Jaffna,1 years,"$27,248.72",Clerk,Fed,Fds
Lucas Anderson,1972-11-03,lucas.anderson@yahoo.com,28,Master's Degree,Female,Anuradhapura,Western,Badulla,Division 5,Station 24,Teacher,University of Moratuwa,6 years,"$62,074.38",Senior Polling Officer,Fed,Fds
